Question,Correct Answer,Correct Index,Option A,Option B,Option C,Option D
"In the movie The Phantom of the Opera, Christines dad called her by what name?",Little Lotte,3,Angel of Music,Little Christine,Little Lotte,Laura Little
Which finishing move is most notably performed by Shawn Michaels?,Sweet Chin Music,1,Sweet Chin Music,Swing Chin Music,Warming up the Band,Sweet Cheyenne Music
"In the movie Sixteen Candles, Farmer Ted ends up getting together with Jake Ryans girlfriend. They wake up in the back seat of Jakes fathers car. What kind of car is it?",Rolls Royce,2,Cadillac,Rolls Royce,Corvette,Jaguar
What hobby did Academy Award-winning actor Sean Connery have when he was younger?,Bodybuilding,4,All of these,Car racing,Painting,Bodybuilding
"The show stopper in Cabaret is the song Cabaret in which Sally advises Life is a Cabaret, old chum.  Come to the Cabaret . But Sally is following the advise of someone else. Who told Sally,  What good is sitting alone in your room? Come hear the music play.?",Elsie,1,Elsie,Marie,Liza,Lise
Which one of these songs referring to Saturday was released first?,Saturday Nights Alright For Fighting by Elton John,1,Saturday Nights Alright For Fighting by Elton John,Someday Ill be Saturday Night by  Bon Jovi,Saturday by Fall Out Boy,Saturday Night by Suede
"In the movie Forrest Gump, Forrest joins the U.S. Army and becomes best friends with Benjamin Buford Blue (played by Mykelti Williamson). What was Benjamins nickname?",Bubba,4,Beau,Billy,Bennie,Bubba
"What was the original title of Chers song Gypsies, Tramps, and Thieves?","Gypsies, Tramps and White Trash",4,"Gypsies, Tramps and Hobos","Gypsies, Tramps and White Lies","Gypsies, Tramps and Heroes","Gypsies, Tramps and White Trash"
"Who, according to Kitty,  looks cute in his mohair suit and keeps his pockets full of spending loot?",The Boy from New York City,1,The Boy from New York City,The Boy Next Door,The Leader of the Pack,Stagger Lee
"In the British post-apocalyptic horror movie 28 Days Later, the virus that causes people to become violent zombies is started by what kind of animals?",Chimpanzees,3,Wolves,Cats,Chimpanzees,Bats
What year was Roy Del Ruths movie The Alligator People released?,1959,1,1959,1955,1957,1956
The Bandits real name is never mentioned in the movie Smokey and the Bandit.,False,2,True,False,N/A,N/A
Where is the Field of Lost Shoes located?,New Market,4,Lynchburg,McDowell,Kernstown,New Market
Which of the characters from the 1939 movie The Wizard of Oz says the phrase Theres no place like home?,Dorothy,3,The Cowardly Lion,The Scarecrow,Dorothy,The Tin Man
Which Alien film was not nominated for an Oscar in any category?,Alien Resurrection,3,Aliens,Alien,Alien Resurrection,Alien 3
Which of the following musicals was not written by Schonberg and Boublil?,Jekyle and Hyde,4,Miss Saigon,Martin Guerre,Les Miserables,Jekyle and Hyde
Which writer witnessed the eruption of Mt. Vesuvius in 79 AD?,Pliny the Younger,1,Pliny the Younger,Pompey the Great,Plautus,Plutarch
"Musical legend, Jimi Hendrix was born on November 27, 1942, in this city.",Seattle,4,New York,Chicago,San Francisco,Seattle
Who performed the song Whatcha Gonna Do With a Cowboy? together with Garth Brooks?,Chris LeDoux,1,Chris LeDoux,Trisha Yearwood,Merle Haggard,George Strait
In what popular musical film did Barbra Streisand star in 1969?,"Hello, Dolly!",2,Moulin Rouge,"Hello, Dolly!",Chicago,Hair
Did Will Smith release the song Gettin Jiggy Wit It in 1998?,Yes,1,Yes,No,N/A,N/A
What Union naval ship sank Confederate raider CSS Alabama during the American Civil War?,USS Kearsarge,4,USS Washington,USS New York,USS Monitor,USS Kearsarge
"In 1959, Ms. Lena Horn and Harry Belafonte sang together two songs on this album.",Porgy and Bess,4,Stormy Weather,Jamaica,A Cabin in the Sky,Porgy and Bess
Graffiti on a tan-colored wall,Just Say Ozzy,3,Live and Loud,Tribute,Just Say Ozzy,The Ozzman Cometh
This superstar who dominated the 80s wanted to Dress You up and Live to Tell about it.,Madonna,2,Cyndi Lauper,Madonna,Cher,Tina Turner
Why was Rihanna bullied at school?,because of the color of her skin,4,because of her height,because of her weight,because of her name,because of the color of her skin
"Jon Bon Jovi, Richie Sambora, Tico Tores and David Bryan, the original members of Bon Jovi, are from which US state?",New Jersey,1,New Jersey,California,New York,New Mexico
"Alphonse Gabriel Capone, a.k.a. Al Capone, was a real American criminal who inspired many movie and book characters. How did the real Al Capone die?",Cardiac arrest,1,Cardiac arrest,From stroke,He was shot.,He was sentenced to death.
Uncle Albert  Admiral Halsey was a big #1 U.S. hit song for this singer in the 1970s.,Paul McCartney,3,Elton John,John Lennon,Paul McCartney,George Harrison
"This actor, who portrayed Mr. McCardle, Juror #9 in 12 Angry Men, passed away in 1964 after a brilliant career in early television and motion pictures.",Joseph Sweeney,1,Joseph Sweeney,John Fiedler,Ed Begley,Jack Warden
"This 1940 movie was Alfred Hitchcocks first American project, and won an Academy Award for Best Picture.",Rebecca,2,Under Capricorn,Rebecca,Shadow of a Doubt,Notorious
"In 1996, U.S. anti-terrorist investigators learned of an organization called al-Qaeda for the very first time from which one of the following?",Sudanese informer,1,Sudanese informer,captured Taliban fighter,Israeli Mossad agent,released American hostage
"What was the code name of Captain Hilts, the fictional character portrayed by Steve McQueen in The Great Escape?",The Cooler King,3,The Forger,The Mole,The Cooler King,The Scrounger
Zipper Catches Skin,Alice Cooper,3,Warrant,Poison,Alice Cooper,Cinderella
"Originally called Earth, this band changed its name after a bandmember was given an occult book in Latin and had a vision of a black hooded figure standing at the foot of his bed.",Black Sabbath,3,Judas Priest,Iron Maiden,Black Sabbath,Uriah Heep
What is Fletchs favorite team in the movie Fletch?,L.A. Lakers,3,Boston Celtics,Boston Celtics,L.A. Lakers,New York Knicks
Who wrote the libretto for the opera Aida?,Camille du Locle,3,Mariette Bay,Armand Amonasro,Camille du Locle,Giuseppe Verdi
What is Gaylord M. Fockers unusual profession in the 2000 comedy Meet the Parents?,Nurse,1,Nurse,Pet mortician,Kindergarten teacher,Beautician
A song by what famous rapper was featured in the soundtrack of the G-Force 2009 movie?,Flo Rida,3,Eminem,Lloyd Banks,Flo Rida,The Game
How do you say hello in Russian?,Zdravstvuite,2,Spasiba,Zdravstvuite,Dobry den,Do svidanya
"Is it true that in the movie The Great Escape, Donald Pleasence played Lt. Colin Blythe known as the Forger?",Yes,1,Yes,No,N/A,N/A
The following quote belongs to this man: Music hath charms  to soothe the savage breast.,William Congreve,1,William Congreve,William Shakespeare,Thomas Marlowe,Richard Sheridan
The southern region of what US state is known as Little Egypt?,Illinois,2,Virginia,Illinois,Ohio,Maryland
"Who released Live at Filmore East, the album ranked #49 on Rolling Stone magazines list of greatest albums of all time?",The Allman Brothers Band,3,The Grateful Dead,Phish,The Allman Brothers Band,Little Richard
"What actor uttered the phrase Carpe diem. Seize the day, boys. Make your lives extraordinary in the 1989 movie Dead Poets Society?",Robin Williams,4,Tom Hanks,Tim Robbins,Ethan Hawke,Robin Williams
What is the correct order of the premier years of the Blade movies?,"1998, 2002, 2004",3,"1999, 2003, 2005","1997, 2001, 2003","1998, 2002, 2004","1996, 1999, 2004"
"Glenwood Springs, Colorado was known for its hot springs and hospital. What famous outlaw and gun slinger expired from Tuberculosis there?",Doc Holliday,3,Billy The Kid,Jesse James,Doc Holliday,Wyatt Earp
"In The Poseidon Adventure, what was the profession of Linda before she married detective Rogo?",prostitute,3,barmaid,policewoman,prostitute,hair dresser
This Australian reggae-influenced rock band released their debut album Business As Usual in 1982.,Men At Work,4,Culture Club,Kajagoogoo,Men Without Hats,Men At Work
"How many Mel Brooks films, released in the period 1968-1995, were recast into Broadway musicals?",2,2,1,2,4,3
How many times can a woman compete in the Miss America pageant?,1,4,It is not specified.,3,2,1
What was Bernard Fockers occupation before he became a father according to the 2004 comedy movie Meet the Fockers?,He was an attorney.,3,He was a doctor.,None of these,He was an attorney.,He was a painter.
In the musical Wicked Mme. Morrible was a teacher at Wiz University before becoming Press Secretary to the Wizard.,False,1,False,True,N/A,N/A
"And where is the lowest point in the USA, North America, and western hemisphere? I need the state and national park name.","California, Death Valley NP",2,"Maine, Acadia NP","California, Death Valley NP","Arizona, Grand Canyon NP","Wyoming, Yellowstone NP"
"On July 11, 1804, V.P. Aaron Burr fatally wounded this famous founding father in a duel.",Alexander Hamilton,1,Alexander Hamilton,Thomas Jefferson,John Hancock,James Madison
What does the German word Blitzkrieg mean?,lightning war,2,holy war,lightning war,patriotic war,speed war
"In the movie The World Is Not Enough, the bullet is located in what part of Renards body?",In his brain,2,In his heart,In his brain,In his lung,In his hand
For his performance in what action movie did Denzel Washington win his first Academy Award for Best Actor?,Training Day,3,Malcolm X,Man on Fire,Training Day,Glory
"What American rapper was born on October 4, 1989 in New York City?",Lil Mama,1,Lil Mama,Chris Brown,Soulja Boy,Bow Wow
Steve McQueen played a bounty hunter in which popular western series that ran from 1958 to 1961?,Wanted Dead or Alive,4,Sundance,Have Gun Will Travel,Rawhide,Wanted Dead or Alive
"Who plays American journalist Maddy Bowen, the main female character in the movie Blood Diamond?",Jennifer Connelly,2,Julia Stiles,Jennifer Connelly,Rose McEwen,Jennifer Aniston
What did John Beckwith and Jeremy Grey do for a living in the great movie Wedding Crashers?,they worked together in divorce meditation,2,they were both lawyers,they worked together in divorce meditation,they both worked at Blockbuster Video,"they did not work, all they did was crash weddings"
This very popular song was about a former slave who helped win the Battle of San Jacinto.,The Yellow Rose of Texas,2,My Darling Clementine,The Yellow Rose of Texas,She Scurried Neath the Blaze,She Wore a Yellow Ribbon
"In the movie Monty Pythons Life of Brian, how many people of Regs group wouldnt gladly give their lives to get rid of the Romans once and for all?",One,4,Three,Two,None,One
What popular American martial artist did Jean-Claude Van Damme portray in the 1988 movie Bloodsport?,Frank Dux,3,Stuart Wilson,Bob Anderson,Frank Dux,Gordon Richiusa
Things I Miss the Least is the title of a Steely Dan song.,False,1,False,True,N/A,N/A
Which of these popular musicians was not born in Spain?,Shakira,2,Paco de Lucia,Shakira,Alejandro Sanz,Enrique Iglesias
"In Saturday Night Fever, this actress portrayed the aloof Stephanie Mangano, who after much urging, agreed to be Tony Maneros partner in a dance competition.",Karen Gorney,4,Donna Pescow,Fran Drescher,Ellen Travolta,Karen Gorney
What was Janet Jacksons biggest music inspiration back when she was a little girl?,Broadway musicals,2,The Jackson 5,Broadway musicals,Opera,Gospel music
"Who produced and directed the 1998 movie Psycho, which is a remake of the 1960 film directed by Alfred Hitchcock?",Gus Van Sant,1,Gus Van Sant,Roman Polanski,Milos Forman,Vince Vaughn
Dixie was composed in 1859 by this man.,Daniel Decatur Emmett,1,Daniel Decatur Emmett,Jeff Davis,Joel Chandler Harris,Scott Joplin
Which of these nicknames refers to the U.S. state of Idaho?,Gem State,3,Emerald State,Pearl State,Gem State,Golden State
What is the largest carnivorous mammal endemic to the island of Madagascar?,Fossa,4,Short-tailed Mongoose,Fanaloka,Meerkat,Fossa
This great Chicago-born singer was married to Max Roach and sang on his famous We Insist!-Freedom Now Suite. She appeared in such movies as For the Love of Ivy” and Nothing but a Man. One of her signature songs is Buddy Can You Spare a Dime?.,Abbey Lincoln,4,Billie Homiday,Carmen McRae,Dinah Washington,Abbey Lincoln
How old was Giles Cory when he was pressed to death?,81,3,74,103,81,29
"What is the missing phrase from these lines of Beatles song Revolution 1: You say you got ... Well you know, wed all love to see the plan?",A real solution,2,A good idea,A real solution,A useful plan,A new idea
Feels Like the First Time was one of the biggest songs to come out of 1977. Which group is responsible for giving us this great song?,Foreigner,2,Journey,Foreigner,Chicago,Boston
